X Scale,Y Scale,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,key_resp_6.rt
,,0,-0.17295,0,Stimuli/H-8sim0.png,Stimuli/H-8sim3.png,,,,f,1,1.084,,36,0,36,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,1,-0.17295,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,f,0,2.024,,37,0,37,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,f,0,0.911,,38,0,38,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,1,-0.17295,0,Stimuli/H-8sim0.png,Stimuli/H-8sim1.png,,,,f,1,1.07,,39,0,39,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,j,1,0.656,,40,0,40,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/H-8sim1.png,Stimuli/H-8sim3.png,,,,f,1,0.859,,41,0,41,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/H-8sim1.png,Stimuli/H-8sim3.png,,,,j,0,1.646,,42,0,42,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,j,1,1.208,,43,0,43,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,j,1,1.208,,44,0,44,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,f,0,0.836,,45,0,45,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/H-8sim2.png,Stimuli/H-8sim0.png,,,,f,1,1.464,,46,0,46,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/H-8sim1.png,Stimuli/H-8sim2.png,,,,f,1,1.004,,47,0,47,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,,,,,,,,,,,,,,,,,,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,0,1,1,1,1,conf_haus,Designs/instructions_haus_1234.png,
,,0,0.17295,1,Stimuli/f24.png,Stimuli/f24.png,,,,f,0,1.058,,0,0,0,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
